title,author,year
"Russian Literature, Ideals and Realities",Peter Kropotkin,1905
Lectures on Russian Literature,Vladimir Nabokov,1981
Reference Guide to Russian Literature,Neil Cornwell,1998
An Anthology of Russian Literature from Earliest Writings to Modern Fiction,Nicholas Rzhevsky,1996
Soviet Russian literature,Marc Slonim,1964
Landmarks in Russian literature,Maurice Baring,1910
A History of Russian Literature,Victor Terras,1991
The Routledge companion to Russian literature,Neil Cornwell,2001
Dictionary of Russian literature,William Edward Harkins,1956
A history of Russian literature,"Mirsky, D. S. Prince",1949
An outline of Russian literature,Maurice Baring,1910
Gender and Russian Literature,Rosalind Marsh,1996
Anthology of old Russian literature,Ad Stender-Petersen,1954
The golden age of Russian literature,Ivar Spector,1938
Pushkin and Russian literature,Janko Lavrin,1947
Russian literature,Janko Lavrin,1927
An introduction to Russian literature,Helen Muchnic,1947
"A history of Russian literature, from its beginnings to 1900","Mirsky, D. S. Prince",1958
Russian literature,"Lord, Robert",1980
Dostoevsky's underground man in Russian literature,Robert Louis Jackson,1958
Handbook of Russian literature,Victor Terras,1985
History of Russian Literature,D. S. Mirsky,1958
Dictionary of Russian Literature,William E. Harkins,1956
Imperial knowledge,Ewa M. Thompson,2000
An outline of Russian literature,Marc Slonim,1958
The Anna Karenina Fix,Viv Groskop,2017
Litterature russe.,Kazimierz Waliszewski,1900
Russian literature,Marcelle Ehrhard,1964
The Cambridge introduction to Russian literature,Caryl Emerson,2008
Jacob's ladder,Marina Aptekman,2011
"Lectures on Literature. Austen, Dickens, Flaubert, Stevenson, Proust, Kafka, Joyce",Vladimir Nabokov,1980
Russian Literature since 1991,Evgeny Dobrenko,2015
Russian literature and empire,Susan Layton,1994
Outline of Russian Literature,Maurice Baring,2009
Lectures on Russian Literature,Ivan Panin,2009
Russian literature from Pushkin to the present day,Richard Hare,1947
25 Years of Soviet Russian Literature (1918-1943),Gleb Struve,1946
Anthology of Russian Literature,Leo Wiener,1902
Terrible perfection,Barbara Heldt,1987
Russian literature and the Classics,Peter I. Barta,1996
Studies in Russian Literature,Charles Edward Turner,1882
The History of Russian Literature,Friedrich Otto,1839
Early Russian literature,John Lister Illingworth Fennell,1974
Translating Great Russian Literature,Cathy McAteer,2020
A panorama of Russian literature,Janko Lavrin,1973
Ideology in Russian literature,Richard Freeborn,1990
Nineteenth-century Russian literature,John Lister Illingworth Fennell,1973
Russian literature,Catriona Kelly,2001
Women writers in Russian literature,Diana Greene,1994
The positive hero in Russian literature,Rufus W. Mathewson,1958
Russian literature since the Revolution,Edward James Brown,1963
Russian literature and its demons,Pamela Davidson,2000
Russian Literature of the Twenties,Carl R. Proffer,1987
A History of Russian Literature,Kazimierz Waliszewski,2009
A guide to Russian literature (1820-1917),Moissaye J. Olgin,1920
The Cambridge history of Russian literature,Charles A. Moser,1989
Teaching nineteenth-century Russian literature,Robert L. Belknap,2014
Images of Nusantara in Russian literature,Vladimir Braginsky,1999
Anthology of Russian Literature,Russian Lit,2010
The look of Russian literature,Gerald Janecek,1984
Russian Literature,Andrew Baruch Wachtel,2013
Schiller in Russian literature,Edmund K. Kostka,1965
"Contemporary Russian literature, 1881-1925","Mirsky, D. S. Prince",1926
A history of Russian literature,D. S Mirsky,1934
A concise history of Russian literature,Thaïs S. Lindstrom,1966
Conformity's children,Ellen B. Chances,1978
Zamiatin's We,"Russell, Robert",2000
Anthology of Russian Literature -- The Nineteenth Century,Wiener,1902
The epic of Russian literature ; from its origins through Tolstoy,Marc Slonim,1950
"25 years of Soviet Russian literature, 1918-1943",Gleb Struve,1944
Modern Russian literature,"Mirsky, D. S. Prince",1925
Russian Literature,Robert Lord,1985
Jews in Russian Literature after the October Revolution,Efraim Sicher,1995
Hagiography and Modern Russian Literature,Margaret Ziolkowski,1988
Autobiographical statements in twentieth-century Russian literature,Jane Gary Harris,1990
"Survey of Russian Literature, with Selections",Isabel Florence Hapgood,2012
D. H. Lawrence's response to Russian literature,George J. Zytaruk,1971
The epic of Russian literature,Marc Slonim,1950
Translating Russian literature in the global context,Muireann Maguire,2024
Soviet Russian literature,Gleb Struve,1935
The problem of skaz in Russian literature,I. R. Titunik,1963
Russian literature,Anna Lorraine Guthrie,1917
Between religion and rationality,"Frank, Joseph",2010
From Chekhov to the Revolution,Marc Slonim,1953
Superstitious Muse,David Bethea,2009
A concise history of Russian literature,Thais S. Lindstrom,1966
Eluosi wen xue,Maurice Baring,1933
Rivers in Russian Literature,Margaret Ziolkowski,2020
The complection of Russian literature,Andrew Field,1971
A treasury of classic Russian literature,John Cournos,1961
"Narrative and desire in Russian literature, 1822-49",Joe Andrew,1993
Representing the Marginal Woman in Nineteenth-Century Russian Literature,Svetlana Slavskaya Grenier,2000
Русская литература,Дмитрий Быков,2019
Русская литература,Evgeniĭ Vi︠a︡cheslovovich Petukhov,1912
Русская литература XIX-XX веков,Ilʹi͡a Brazhnikov,2011
Русская литература в свете христианских ценностей,Ольга Анатольевна Гончарова,2006
Русская литература в иностранной аудитории,I. I. Tolstukhina,2019
Русская литература,Липгарт А. А.,2020
Шекспир и русская литература,В. Б. Смиренский,2020
Русская литература между Востоком и Западом,L. Silard,1999
"Русская литература XIX века, 1880-1890",S. A. Dzhanumov,2006
Русская литература в зеркалах мировой культуры,M. F. Nadʺi︠a︡rnykh,2015
Русская литература в зеркале лубка,N. I. Rudakova,2015
Русская литература,Е. В. Сартаков,2019
Русская литература ХХ в.,N. Burlakov,1961
Афанасий Фет и русская литература,Н. З. Коковина,2011
Революция 1905 года и русская литература,V. A. Desnit︠s︡kiĭ,1950
Русская литература ХVIII века,O. M. Buranok,2007
Русская литература для всех,I. N. Sukhikh,2013
Русская литература в мировом культурном пространстве,Н. Д. Котовчихина,2013
Русская литература XIX века в поисках героя,Ė. I͡A Fesenko,2013
Русская литература ХХ века,V. A. Redʹkin,2008
"Русская литература, или Слово против Хаоса - классика и современность",В. К. Кантор,2021
Русская литература в России и мире,С. С. Имихелова,2016
М. М. Херасков и русская литература ХVIII-начала ХIХ веков,Д. Ивинский,2018
Классика и современники,М. Ю. Лермонтов,1984
Современная русская антиутопия,Ольга Н. Николаенко,2006
Киев. Русская поэзия. ХХ век,Юрий Григорьевич Каплан,2003
Русская историческая драма,Екатерина Анатольевна Прокофьева,2008
Russkai︠a︡ romanticheskai︠a︡ poėma,A.S.Nemzer,1985
Русская красавица. Анатомия текста,Ирина Сергеевна Потанина,2008
Идиот,Фёдор Михайлович Достоевский,1874
Анна Каренина,"Tolstoy, Leo, graf, 1828-1910",1998
Apocalypse Now.,Dr. Andrej Poleev,2024
Мертвые души,Николай Васильевич Гоголь,2000
Униженные и оскорбленные,Фёдор Михайлович Достоевский,1998
Дидактическая традиция в средневековой русской литературе (XIV-XVII вв.),Юрий Геннадьевич Ткачев,1999
Пророк,Евгений Владимирович Витковский,2001
"Detstvo, otrochestvo, i͡unostʹ","Tolstoy, Leo, graf, 1828-1910",1988
Евгений Онегин,Александр Сергеевич Пушкин,2000
Mitina li︠u︡bovʹ,Иван Алексеевич Бунин,1925
"Пушкин и современность, научно-методическая конференция (2016 ; Бельцы). Научно-методическая конференция ``Пушкин и современность``, посвященная 30-летнему юбилею ТЛ им. А. С. Пушкина и Республиканскому пушкинскому форуму, Бельцы, 21 октября 2016 г.","БГУ им. ""Алеку Руссо""",2016
Любовные элегии,Публий Овидий Назон,2000
Evgeniĭ Onegin,Aleksandr Sergeyevich Pushkin,1999
100 поэтов об Александре Пушкине,Риталий Зиновьевич Заславский,1999
Как Ваня волшебный город спасал,Виктория Надыкто,1999
Менты,Андрей Иванов,2002
